Fold,Type,BuildTime,QueryTime,TotalTime,fraction_trueK_found,Accuracy,Parameters
1,LSH-Jaccard,2.2698120190034388,1.656300595997891,3.9261126150013297,0.03511701389780872,0.48318647725229275,"K=7, tau=0.7, num_perm=64, empty_rate=86.04%, avg_cands=2.6"
2,Brute-Force-Jaccard,0.0,671.1112489180014,671.1112489180014,1.0,0.9350386621111311,K=7
2,LSH-Jaccard,1.1185128659999464,102.16910880900105,103.28762167500099,0.46612248567832093,0.9104477611940298,"K=7, tau=0.3, num_perm=16, empty_rate=0.05%, avg_cands=4659.5"
2,LSH-Jaccard,0.8731619800018962,93.3229904769978,94.1961524569997,0.4071017545662393,0.9044686207516633,"K=7, tau=0.4, num_perm=16, empty_rate=0.09%, avg_cands=4189.8"
2,LSH-Jaccard,1.6303119970034459,11.186367305999738,12.816679303003184,0.14275438641559843,0.8198165797518432,"K=7, tau=0.5, num_perm=16, empty_rate=1.64%, avg_cands=238.9"
2,LSH-Jaccard,1.0641702739958419,5.575249993999023,6.639420267994865,0.06638708351529786,0.6695738176586945,"K=7, tau=0.6, num_perm=16, empty_rate=15.95%, avg_cands=23.6"
2,LSH-Jaccard,1.1833956650007167,3.1114130419955472,4.294808706996264,0.04117322167133352,0.5472936522208236,"K=7, tau=0.7, num_perm=16, empty_rate=53.66%, avg_cands=5.0"
2,LSH-Jaccard,1.518056474000332,122.47142077400349,123.98947724800382,0.5646723353970251,0.9195288617155188,"K=7, tau=0.3, num_perm=32, empty_rate=0.00%, avg_cands=5613.1"
2,LSH-Jaccard,2.2905152620005538,15.052140285006317,17.34265554700687,0.22567883474195286,0.861895342564287,"K=7, tau=0.4, num_perm=32, empty_rate=0.54%, avg_cands=400.2"
2,LSH-Jaccard,1.7384346819962957,6.386286011998891,8.124720693995187,0.09363680735736121,0.7385811904333753,"K=7, tau=0.5, num_perm=32, empty_rate=8.09%, avg_cands=34.4"
2,LSH-Jaccard,1.674316953001835,4.189017306998721,5.863334260000556,0.05313792483366301,0.594901996043877,"K=7, tau=0.6, num_perm=32, empty_rate=42.20%, avg_cands=5.7"
2,LSH-Jaccard,1.3938782059994992,2.2146683510000003,3.6085465569994994,0.04022914686464408,0.5179374213270994,"K=7, tau=0.7, num_perm=32, empty_rate=73.18%, avg_cands=2.8"
2,LSH-Jaccard,3.653982862000703,27.34443791100057,30.99842077300127,0.358433734939759,0.8947131810825392,"K=7, tau=0.3, num_perm=64, empty_rate=0.20%, avg_cands=953.5"
